id;PartitionKey;RequestCharge;requestSizeInBytes;requestBodySizeInBytes;responseMetadataSizeInBytes;responseBodySizeInBytes;
9e5a1c4f-7f3d-4dea-b227-06b09bf8389c;0;5.9;1181;769;431;964;
4faef664-18a5-4b7c-8f74-e6443a7bf495;1;7.24;1570;1156;432;1351;
52af6d9b-315c-4917-9e91-c373d339fa2a;2;7.24;1971;1557;432;1752;
37bde46c-d3ea-43c8-9ca7-b92b0b8a476d;3;7.62;2319;1905;433;2100;
640d9c1b-6027-4513-9308-44473480b1d5;4;7.62;2718;2304;433;2499;
9f6a5f32-a092-411f-b64e-9a725d908800;5;7.62;3046;2632;433;2827;
ab604e26-8812-4f7d-862e-fc27dc556e33;6;7.62;3457;3043;433;3238;
1c880ca1-708a-4326-9819-0ee53480706a;7;7.62;3774;3360;433;3555;
5f1c6f5c-aee5-42a4-912b-4d8f493e6b6a;8;7.62;4124;3710;433;3905;
afd97b84-4281-48ec-beee-75c2119434b6;9;7.62;4309;3895;433;4090;
20d8d483-d224-4d5f-a8d5-9db4c75721a3;10;8;4649;4234;433;4429;
b3eb8810-3839-4381-bff9-28495684466f;11;8;4963;4548;433;4743;
86829720-6f25-47f5-9d80-e13883789bf1;12;8;5333;4918;433;5113;
cacc353b-4302-48c0-8ddb-e4ef0c76ede4;13;8;5812;5397;433;5592;
5a2cf5a7-a39e-4e1d-8de8-2e053e25ad24;14;8;6142;5727;433;5922;
ec3454db-ae15-4f8a-83d9-0fb4f7567a6f;15;8;6438;6023;433;6218;
bcba10ab-a705-4026-b64b-7da33782a83e;16;8;6803;6388;433;6583;
d3982045-8d1d-47d2-964c-c54bf769be29;17;8;7174;6759;433;6954;
498c161c-caeb-403e-9753-e2ff236bccf5;18;8;7569;7154;433;7349;
58f706be-d11d-4546-a3ec-ce03e38cef62;19;8;7847;7432;433;7627;
09ec27a6-5e39-42c2-b29c-e75594fc4b6f;20;8;8229;7814;433;8009;
6e51facc-9fb0-4d53-9c98-1066419b1c31;21;10.48;8530;8115;433;8310;
fea45b93-a8af-43f6-a671-177e077c5d49;22;10.48;8708;8293;433;8488;
0041e6c9-85a4-4d58-a6ac-9b2a2267d9b6;23;10.48;8953;8538;433;8733;
d74fc51c-38a1-40a7-accc-2f05244dcdab;24;10.48;9320;8905;433;9100;
e808ea30-60bf-4130-b579-99aa7e114c52;25;10.48;9629;9214;433;9409;
52a3504b-8e1e-4b69-ada3-36eb28e204eb;26;10.48;9842;9427;433;9622;
642afdf2-67aa-49ac-8a44-95a11d125fc5;27;10.48;10183;9768;433;9963;
ee120529-22f6-4a25-aa13-a1d919b4607d;28;10.48;10373;9958;433;10153;
3aa33c62-00d2-42cc-9182-89305fedf1bd;29;10.48;10541;10126;433;10321;
d57ca58d-0c7f-434e-b654-c3d60e49b0a3;30;10.48;10923;10508;433;10703;
75191c6c-1e84-4d47-b8f0-16fe076526b0;31;10.48;11275;10860;433;11055;
294e30e0-85f7-4f07-aa01-31357faa6f30;32;10.48;11471;11056;433;11251;
9ab71161-dabf-4e09-b258-7f87bcd22762;33;10.48;11858;11443;433;11638;
559e8758-11db-4f71-a994-66a57c0eb0b0;34;10.48;12159;11744;433;11939;
e9afa47e-cb7a-4280-8741-901864bf99d9;35;10.48;12473;12058;433;12253;
49393cf7-1c1c-4f9c-8cff-9e929696a57b;36;10.48;12809;12394;433;12589;
c0f6cdff-727b-48da-bf72-35975967db11;37;10.48;13111;12696;433;12891;
2a45080a-e71e-4783-aceb-fbdf58e966c9;38;10.48;13427;13012;433;13207;
0750669b-9d3a-4898-8d1f-c52157f9c31e;39;10.48;13581;13166;433;13361;
0edd79a4-e7f5-40bc-a003-4924f6318f78;40;10.48;13818;13403;433;13598;
480027ba-67ae-4f78-abf2-a4c4937cb8b2;41;10.48;14049;13634;433;13829;
3942be7c-3786-4364-a1da-df5cc2005976;42;10.48;14335;13920;433;14115;
02e6a484-1eb7-41be-ade4-0491641f67aa;43;10.48;14505;14090;433;14285;
25e3e7c2-0fbf-4348-af3e-bbfedf42310f;44;10.48;14776;14361;433;14556;
95763175-6549-4150-a08a-b409bd305387;45;10.48;14969;14554;433;14749;
57651cc8-c280-42cf-9195-a33bc28d45ee;46;10.48;15079;14664;433;14859;
643344ac-1cfc-46dd-9ef9-5b06c9b9984d;47;10.48;15363;14948;433;15143;
8ca5b130-4204-4cf9-8f37-73420f7c3e2b;48;10.48;15596;15181;433;15376;
f67f821f-32c7-4347-bf50-fc4ba2ed1f11;49;10.48;15831;15416;433;15611;
93ca2a23-ca79-4499-a3f2-263841d75784;50;10.48;16119;15704;433;15899;
f5d3c32b-ec2d-4b47-8d83-786696ee0d8c;51;10.48;16315;15900;433;16095;
b2636a82-9def-406c-9c50-b6492863aaec;52;12.19;16647;16232;433;16427;
7b4f5eea-ca5f-4516-81c5-ea87d0ad7b11;53;12.19;16828;16413;433;16608;
96df6b09-b7f8-447c-a134-45749a0d4c69;54;12.19;17080;16665;433;16860;
2500f9e4-00e9-4c28-85af-5b778253b538;55;12.19;17240;16825;433;17020;
fd37a0df-07fa-4fb3-a161-8c016ae35a44;56;12.19;17497;17082;433;17277;
3cc24d97-2712-49d8-bf4c-43f8041254ce;57;12.19;17890;17475;433;17670;
9bc98706-9aad-405c-ab6e-e9d5f40c7892;58;12.19;18136;17721;433;17916;
5355277b-5ca2-401d-830f-775d31ca08d9;59;12.19;18341;17926;433;18121;
d93c01b0-ed2b-436a-8191-0b5dab27e075;60;12.19;18499;18084;433;18279;
3ad99d3e-bc06-444b-9c3d-469639c75e0e;61;12.19;18704;18289;433;18484;
1dc38b4e-42ab-4293-9611-68be1c760ef3;62;12.19;19066;18651;433;18846;
ddc9c7f0-420b-43c6-9b90-b606669c72a6;63;12.19;19270;18855;433;19050;
3daa8fbc-58cd-418c-88c9-e690a234271a;64;12.19;19594;19179;433;19374;
598e13f6-f126-4a19-a4ef-28eb99b9ab18;65;12.19;19693;19278;433;19473;
777914f7-7346-4b91-9bad-131a642bddc7;66;12.19;19842;19427;433;19622;
588b71c6-f8b6-40ed-b358-173a97a42f7f;67;12.19;19874;19459;433;19654;
7445d225-ea7e-435b-9c45-e9db0f9f16b3;68;12.19;20150;19737;433;19932;
5a21009b-e931-44aa-a10e-fd10c55f76e4;69;12.19;20445;20032;433;20227;
7a14f7cd-96d6-469a-acf5-3c6e5a8f020a;70;12.19;20673;20260;433;20455;
d5ba5038-c584-4fea-ab0d-6da1bfa1f7aa;71;12.19;20730;20317;433;20512;
b45324a1-ceff-4a42-87d1-35f13fd09150;72;12.19;20997;20584;433;20779;
20433cde-4147-4e43-8104-b1cf68f780d1;73;12.19;21177;20764;434;20959;
37ef5088-3c33-4232-9dac-b81810368703;74;12.19;21308;20895;435;21090;
7e0efbe0-3e2a-4f36-9fb5-41a88d3e877a;75;12.19;21298;20885;435;21080;
5d58a133-8dcc-43f0-9f8a-103f512021a6;76;12.19;21550;21137;435;21332;
17024285-4c44-45a3-bc5c-49893bcaa3e7;77;12.19;21683;21270;435;21465;
b95b0759-8059-4b4e-844d-e5ee1e15f5e0;78;12.19;21928;21515;435;21710;
b73fdbfe-dec9-4421-b970-d82bb310f98c;79;12.19;22246;21833;435;22028;
56b46fd0-6e26-4bab-9373-82c304408939;80;12.19;22466;22053;435;22248;
dd1fc30c-e895-48b0-a091-38d59e1aa958;81;12.19;22781;22368;435;22563;
cd2dd026-1208-42d6-8f8f-41af55993422;82;12.19;23043;22630;435;22825;
ac7c1b7a-aee2-4f54-ae66-68185fc2190f;83;12.19;23213;22800;435;22995;
d05c98b3-3e83-4c59-bd1e-9fe46c55edb0;84;12.19;23498;23085;435;23280;
1a6d8094-6ac1-4f83-8e14-a784de5b3bff;85;12.19;23707;23294;436;23489;
7327de16-8572-4609-97c9-cdf46dbadc1b;86;12.19;23955;23542;436;23737;
efd789ef-0bc8-4f7a-93ae-76d75d7e2254;87;12.19;24150;23737;436;23932;
0a48c14b-3b30-42f7-9e4f-0f9f0fe7eb02;88;12.19;24366;23953;436;24148;
4a65373c-fa8f-4537-9172-ce50c76b32a3;89;12.19;24659;24246;437;24441;
c7c57d11-0804-445d-8b15-f41332434d61;90;12.19;24951;24538;437;24733;
b3728463-353f-4ee8-92f1-e4af2f49a222;91;12.19;25270;24857;437;25052;
43702791-dc85-4e9c-8ca1-7f2c028043de;92;12.19;25322;24909;437;25104;
676023d6-2f97-41bc-acde-17941916e361;93;12.19;25605;25192;437;25387;
231fb184-1139-41a8-81c4-b8a7084b6294;94;12.19;25867;25454;437;25649;
4f1c0518-f6a8-441e-ad93-7e832fd78a0c;95;12.19;26043;25630;437;25825;
ca43bff8-a550-4a3a-94ed-cc0fd87503d0;96;12.19;26069;25656;437;25851;
44772db1-dc45-4fbf-8b71-49b85a09f1c9;97;12.19;26169;25756;437;25951;
5e2ae657-580d-4876-aef4-f9a225972d70;98;12.19;26437;26024;437;26219;
73832152-3c9a-42e2-aa1b-9cc9fcbe9981;99;12.19;26608;26195;437;26390;
0eb0b581-48e6-4f05-ab0f-186516ab27a5;100;12.19;26788;26374;437;26569;
673f34fe-0989-4ac7-979e-9010ea1c7dbe;101;12.19;26953;26539;437;26734;
3cfa36e9-ce16-448e-a810-273a8c9b6cc4;102;12.19;27142;26728;437;26923;
50d0aa6f-40ca-4f19-b342-97000dd8d82a;103;12.19;27365;26951;437;27146;
012260db-de56-4916-8d2f-14555e703b2e;104;12.19;27522;27108;437;27303;
2beec692-73f9-48b0-8238-5857a802d194;105;12.19;27636;27220;437;27415;
5e1b0402-0178-44ad-a124-e548c520d85d;106;12.19;27794;27378;437;27573;
c6a6dd9c-d907-4214-8b9b-e65e76ba358d;107;12.19;27911;27495;437;27690;
5a21c2bc-4d4b-43b8-8f83-2018fc909659;108;12.19;28019;27603;437;27798;
8e2742a9-1bb2-42e8-8d4e-93a59bcc6249;109;12.19;28197;27781;437;27976;
da39309e-4573-4752-b6d3-d27074b9d6da;110;12.19;28349;27933;437;28128;
3bdfe1d3-d422-421b-8744-87799d2a626a;111;12.19;28589;28173;437;28368;
0ee8b75c-14e8-4be9-81a4-2bc784d60f15;112;12.19;28690;28274;437;28469;
a4ac3437-6f9a-4e36-8322-300042cc8874;113;12.19;28684;28268;437;28463;
30956e9d-8297-46a6-995a-cfb5764be66c;114;12.19;28990;28574;437;28769;
9c96c427-6144-4500-bc48-66a19051d597;115;12.19;29235;28819;437;29014;
2d24a9fc-e5c1-4543-96eb-67f4198e2447;116;12.19;29530;29114;437;29309;
5089aada-0c2f-474b-aa0b-5317cb051883;117;12.19;29730;29314;437;29509;
71176893-97f4-4b5c-883c-224adfda4b2d;118;12.19;30005;29589;437;29784;
07c2dbd6-f7b2-49f4-be91-a9787c39585c;119;12.19;30127;29711;437;29906;
f960e460-aa56-4d0c-95c5-e1f5d345d27f;120;12.19;30054;29638;437;29833;
ab24234b-7586-4dd6-880c-29c98824a121;121;12.19;30130;29714;437;29909;
39bef3c8-f9bb-4922-8ee1-9f091276c73e;122;12.19;30368;29952;437;30147;
f71f2aa3-bf92-4213-baf0-f272901d4584;123;12.19;30586;30170;437;30365;
2bcbecab-302e-455d-bc58-9aaa55a712a0;124;12.19;30741;30325;437;30520;
4231d9c1-17cc-4bfb-8705-c6ceb4975c0b;125;12.19;30817;30401;437;30596;
7e27caa3-3d10-491d-aa44-7c5b913fdb59;126;12.19;31147;30731;437;30926;
d055af71-ab3f-44cb-9584-541c84c5c119;127;12.19;31203;30787;437;30982;
6b338f1d-7433-4749-9632-cc10afb593f5;128;12.19;31422;31006;437;31201;
63676d85-c695-445e-afa0-51c43fec03d9;129;12.19;31692;31276;437;31471;
1fed3ca7-58f3-4a5d-8cbd-9e2ec7f5cf44;130;12.19;31892;31476;437;31671;
9ea21b45-7f5b-4ccd-9482-e1bc3b7d8c5b;131;12.19;32167;31751;437;31946;
9d2d7712-fc62-4d97-be55-b979ce94d5c7;132;12.19;32337;31921;437;32116;
36e01f01-c626-494e-9e3f-5ca7dbb98e1e;133;12.19;32493;32077;437;32272;
7b990d6a-cc8c-46dc-924d-98a56c4f8497;134;12.19;32653;32237;437;32432;
07f60b9c-6414-4d2a-9984-7520a8db5d1c;135;12.19;32804;32388;437;32583;
55845c7f-c3e8-429a-8edd-a560df1862df;136;23.62;33039;32623;437;32818;
276e78a5-cbf1-4c60-a282-b6f47e9affd7;137;23.62;33141;32725;437;32920;
3939df62-9464-4d7b-b937-2f05ad8d9dd0;138;23.62;33193;32777;437;32972;
38a724ee-5bcc-4535-9731-3b234360c672;139;23.62;33354;32938;437;33133;
b2f21c7a-50a6-4afc-90c1-50fadc6c5a03;140;23.62;33342;32926;437;33121;
db0ca955-ea62-421b-96d4-5605733e5562;141;23.62;33544;33128;437;33323;
e03f490d-afd3-411a-8b88-31dc035b54db;142;23.62;33710;33294;437;33489;
1572e8c0-17f6-4b29-a042-835979f0d229;143;23.62;33678;33262;437;33457;
37a08a85-755a-4bf0-aede-46ad8506b452;144;23.62;33690;33276;437;33471;
802a5060-5a20-4908-8035-6e2c635ef3fe;145;23.62;33809;33395;437;33590;
33b0c909-13fc-4cfc-a0f0-36563250c8d5;146;23.62;33980;33566;437;33761;
b0b6f885-37a8-4cfd-bcdf-f779809cb55c;147;23.62;34093;33679;437;33874;
7004d5ca-d668-41d3-94ab-f876e69a3417;148;23.62;34238;33824;437;34019;
a4acc188-5245-4c09-ad79-4cfaefc5b6a1;149;23.62;34368;33954;437;34149;
2ce9c932-6705-418d-bbe7-94432e85581c;150;23.62;34604;34190;437;34385;
60997e8e-5985-4f57-9e78-b778e24a22a3;151;23.62;34705;34291;437;34486;
344c2c17-9677-42be-937c-4ca088ee4a43;152;23.62;34924;34510;437;34705;
b3ec3c01-6c1e-4d86-a789-9f5fbca0907c;153;23.62;35194;34780;437;34975;
801d0af6-32d4-4c01-bac0-5ecd97a4e3cc;154;23.62;35440;35026;437;35221;
d93785fd-0572-46e9-914a-b254da3bdfd3;155;23.62;35590;35176;437;35371;
d275b6ed-80dd-4737-8084-a407b91dc910;156;23.62;35797;35383;437;35578;
b7491513-e831-4c68-a562-6067c5a9d07b;157;23.62;35829;35415;437;35610;
a4f8055e-75f0-4269-89f6-13adf0d7cee9;158;23.62;35933;35519;437;35714;
18be2e78-3ef3-4adf-b991-babcec73ad2b;159;23.62;36226;35812;437;36007;
4c73e717-df62-406e-88cb-6874dc0e322b;160;23.62;36348;35934;437;36129;
a4e82fe8-dc7a-4d0e-86ce-94c44a587858;161;23.62;36459;36045;437;36240;
01d98512-b7b3-4bfc-b854-211861071e13;162;23.62;36465;36051;437;36246;
7a91613e-17f3-4161-ae96-3c1b670a833e;163;23.62;36531;36117;437;36312;
f14af6e1-acb4-4b8d-a101-026c347a8071;164;23.62;36614;36200;437;36395;
3edca3c0-db94-4cfc-b524-025589831108;165;23.62;36694;36280;437;36475;
807f3adb-64da-4e1a-800a-2e95f3ab8dd9;166;23.62;36704;36290;437;36485;
c77ff634-4cd7-451e-9745-3f739c900db0;167;23.62;36895;36481;437;36676;
2b07e336-eaa4-42d0-a05f-4adbff569bce;168;23.62;37072;36658;437;36853;
57a5ab60-aafb-40a7-9e39-531d0e174b7f;169;23.62;37247;36833;437;37028;
1bce2667-1369-4d7f-bd70-f697c9ff87b9;170;23.62;37521;37107;437;37302;
18b9f5cd-be5a-4628-b8d5-cddce901b251;171;23.62;37658;37244;437;37439;
9b78efb1-c0b9-4cc0-8037-d0324e6b9714;172;23.62;37755;37341;437;37536;
ea55458e-3f20-4f66-80e7-523f238ac3d3;173;23.62;37770;37356;437;37551;
bb866482-5f70-4b17-a2fe-17e7b13df50d;174;23.62;37874;37460;437;37655;
5c95b506-8296-495c-bdee-7c1b9f0a3a42;175;23.62;37998;37584;437;37779;
776a5d3d-26cb-4c52-8688-7f0097569ed5;176;23.62;38193;37779;127;174;
aae0d24e-d025-411c-88fc-d898754e2f21;177;23.62;38252;37834;437;38029;
00a7bb8e-b97b-4e68-b1e6-edcc9894635f;178;23.62;38277;37859;127;174;
77a4895d-8ab9-4430-9615-f9c8685d4499;179;23.62;38396;37978;437;38173;
c6fd2b44-7e9b-41c6-a9bc-b67a4f5b24db;180;23.62;38580;38162;127;174;
957ac73c-bb12-42f3-b26a-dfee92b0688a;181;23.62;38688;38270;437;38465;
6bdce117-8343-419c-9212-c94a46f3bd3f;182;23.62;38845;38427;127;174;
6f80cfa1-26fa-46b8-bad2-8ba96f2e81bd;183;23.62;38967;38549;437;38744;
6127aefe-445c-4811-bd58-c7aeab004896;184;23.62;39105;38687;127;174;
9ed46a52-f8d1-40b6-850b-e49d2aa2dc98;185;23.62;39227;38809;437;39004;
a12e2c6c-cf00-4db4-8ea5-50ffcf0fbe18;186;23.62;39503;39085;127;174;
f0d4d9f0-d5ad-4b8f-aeee-34657708e266;187;23.62;39652;39234;437;39429;
879d44f6-0414-4590-9ebb-ae104aae241f;188;23.62;39858;39440;437;39635;
d968949c-c252-4b86-b13f-8bf49eb3158b;189;23.62;40041;39623;127;174;
3983c90b-6e54-4198-ba54-27ae028a32bc;190;23.62;40337;39919;437;40114;
429da621-4327-418b-8fd7-d283a21a47c7;191;23.62;40457;40039;437;40234;
51392d15-2ca5-45b5-aca2-8bb1917588d7;192;23.62;40705;40287;127;174;
b494a210-9585-4e99-a6ed-9101c48ba7e8;193;23.62;40730;40312;437;40507;
404e20d5-874b-4cf4-ac69-0ebbfcbd2779;194;23.62;40848;40430;437;40625;
e854ea24-0b56-45a4-9da1-47112cce1075;195;23.62;40978;40560;127;174;
58ae6d18-9fae-4d51-b974-9e79d0ce237c;196;23.62;41115;40697;437;40892;
9260c334-64f8-4e4b-934b-4bb295f69d23;197;23.62;41293;40879;127;174;
95e433de-65cb-44fb-9500-cd7bc97d7544;198;23.62;41490;41076;437;41271;
e702a573-cc4b-4ce1-a424-5583970bb864;199;23.62;41684;41270;127;174;
a68fc376-5eab-46bd-b948-308df6075c8d;200;23.62;41711;41297;437;41492;
39323c66-abdc-4b4f-b4f8-23c57f294b49;201;23.62;41845;41431;127;174;
4b652634-fee1-45e4-b68f-7e19a08d728f;202;23.62;42055;41641;437;41836;
593259b2-7f1e-47ab-8ead-8cddbcb53653;203;23.62;42150;41736;127;174;
9506b14e-33ef-4384-b91f-9a42c4b7afd3;204;23.62;42344;41930;437;42125;
592fc9eb-301b-48f5-bf3d-745df553d821;205;23.62;42449;42035;127;174;
860b3348-d317-43aa-95e2-906f0331c126;206;23.62;42626;42212;437;42407;
f3820dc7-46fb-4bda-b720-5b278995d7ce;207;23.62;42786;42372;437;42567;
30a028e1-b3f6-47f2-adaf-366200eb87fd;208;23.62;43001;42587;437;42782;
f7d73077-a60c-465e-be49-71d227d43cf6;209;23.62;43132;42718;127;174;
dc165b7e-72f7-4687-a18e-53b79dca360c;210;23.62;43125;42711;437;42906;
0085f1da-cbb4-41b4-a6a1-db16a2fc6b8c;211;23.62;43207;42793;437;42988;
7130a7c0-8d1a-498a-9553-59636dfb363e;212;23.62;43271;42857;127;174;
6105a9c5-ab1d-4de0-9f9a-4f808c94358f;213;23.62;43343;42929;437;43124;
66047748-7f07-4793-9c65-79694781a0cb;214;23.62;43461;43047;437;43242;
312d707e-6942-47d1-b837-ac0bff646699;215;23.62;43676;43262;127;174;
5d3eae15-44e1-4438-918c-8fcf6f00869a;216;23.62;43735;43323;437;43518;
0f403cce-1170-4fb8-a646-970870edd852;217;23.62;43781;43369;127;174;
5aefa60a-1d20-4e1a-9576-31be83c32746;218;23.62;43900;43488;437;43683;
d0825643-980a-42ab-ad23-690d488d2c33;219;23.62;44039;43627;127;174;
b66dd606-4a47-4a2f-8641-c9f2334dc88a;220;23.62;44278;43866;437;44061;
005d2890-ff30-4a7e-bd81-0d1a7424a50f;221;23.62;44380;43968;127;174;
7ef8fa25-720d-4972-9785-900cbd4816cf;222;23.62;44408;43996;437;44191;
704efa87-ebd8-41dc-b647-212ab6fb7d12;223;23.62;44400;43988;127;174;
f2f312e5-e13d-49f1-8745-0f8e3e16c230;224;23.62;44596;44184;437;44379;
d62ff309-2479-4d53-84fa-40033040d3de;225;23.62;44750;44338;127;174;
8a745f37-5193-4079-80f7-abc00068eeb9;226;23.62;44914;44502;437;44697;
35d5d044-fb1a-4c01-8294-60ccacd2015c;227;23.62;45019;44607;437;44802;
f7cba640-23d0-4080-9edc-923b676ecbd2;228;23.62;45142;44730;437;44925;
213f8945-c043-4580-9fe1-ae24d9dd4b97;229;23.62;45193;44781;127;174;
4baae7ee-45d1-4ccd-88f5-d092c4e503ff;230;23.62;45400;44988;437;45183;
e35501b7-8640-4571-add9-8d8b08a77a4a;231;23.62;45675;45263;437;45458;
43b599c4-7a0d-404d-a6f9-adc2976e8770;232;23.62;45649;45237;127;174;
7b514e0c-0cb9-4caa-bcfd-85042a07c38a;233;23.62;45652;45240;437;45435;
4f05b3ec-674f-462f-b73a-bfbc293df11a;234;23.62;45713;45301;437;45496;
b26539cf-82ae-4e25-bd63-54413e2a62be;235;23.62;45846;45434;127;174;
537c71a8-d1d4-4954-9ce0-9aa67e8a8117;236;23.62;45944;45532;437;45727;
5d20f350-d4c3-46d0-a09e-93c144f495d3;237;23.62;46008;45596;127;174;
563cb6fe-445e-41db-a558-4f844648feac;238;23.62;46194;45782;437;45977;
f8da6508-f9ea-44ee-9035-3b20464c5fc3;239;23.62;46207;45795;437;45990;
d0c52ee2-2d79-415d-bd97-11d3264e9829;240;23.62;46420;46008;437;46203;
623c81f3-f8b7-46a7-92a7-65fdbf9acb37;241;23.62;46401;45989;127;174;
ed67ee59-afaf-4d78-b0d7-b25f7ffeeb3a;242;23.62;46507;46095;437;46290;
9226642e-e012-45bf-bdf7-9578592525bd;243;23.62;46736;46324;437;46519;
3225e051-533c-4be5-9806-be3c47221523;244;23.62;46795;46383;127;174;
15142452-6317-406b-886d-281c446e3993;245;23.62;46912;46500;437;46695;
c2ad2c5a-8aca-4d05-ba19-eaef2f79143f;246;23.62;47157;46745;437;46940;
100a462d-ae11-4981-a3d1-fc2caf0dbbcc;247;23.62;47310;46898;127;174;
c5a8a05d-c377-40c6-9832-6a9ee6158d9a;248;23.62;47371;46959;437;47154;
aeb5a613-0bf2-4d2a-b8c3-6aada3cfc00a;249;23.62;47399;46987;437;47182;
ac9dd10b-95ca-4724-ba89-d2331387b45b;250;23.62;47579;47167;127;174;
11fa979e-9763-4460-aa0c-26088e82d347;251;23.62;47735;47323;437;47518;
7465c80c-ec6a-42c9-b9eb-d377c9efac10;252;23.62;47905;47493;437;47688;
418e072f-e3e2-4d86-92ed-0a7540146832;253;23.62;47980;47568;127;174;
f65efc7d-ac60-4831-82b5-5517163e1236;254;23.62;48073;47659;437;47854;
a170181e-c844-4a71-a486-bcf1be0354d3;255;23.62;48207;47793;437;47988;
cae70cf6-9732-4a7d-90c1-8e8a29606992;256;23.62;48341;47927;127;174;
42903d98-33ea-447e-8e91-0692947e5745;257;23.62;48544;48130;437;48325;
6eccba03-e028-4de8-932a-c3e1dc84693f;258;23.62;48540;48126;437;48321;
8be8ec3d-74e5-450e-8575-f2b5bd54ed9c;259;23.62;48756;48342;127;174;
4dbb5f05-11db-4ee9-b989-ec5876824c49;260;23.62;48844;48430;437;48625;
62bb0252-4cf4-42b2-a30c-045d417846a6;261;23.62;48935;48521;437;48716;
4b935473-47a9-4ee1-a81c-8c7cea5f87b3;262;23.62;48946;48532;127;174;
3ee3ee1a-1823-4375-ac9e-699b3413b971;263;23.62;48993;48579;437;48774;
929cfdca-f9ab-4706-a871-b861aeb69ed0;264;23.62;49288;48874;437;49069;
74d4ad9b-49d4-4750-878e-a62aad690b8d;265;23.62;49392;48978;127;174;
7fc55b99-1dc6-42b4-b441-4b6773f7a436;266;23.62;49436;49022;437;49217;
5af95a83-0fcd-49df-8cf2-7cae9b88d41c;267;23.62;49459;49045;437;49240;
d2c070ae-02ce-4ad3-8dd2-e2184952dc04;268;23.62;49582;49168;127;174;
80e43aaa-f34a-4229-b6f2-ed021559c36e;269;23.62;49840;49426;437;49621;
72653488-1e4e-41b4-988e-051baaf9a2fd;270;23.62;49978;49564;437;49759;
75f908c9-b1f8-4fa6-bdd7-6807c3025f67;271;23.62;50089;49675;437;49870;
405af8cd-5ce1-4c44-9753-58586c91b031;272;23.62;50144;49730;127;174;
0f01f000-4c81-4e15-b490-8b9033d36502;273;23.62;50190;49776;437;49971;
ceed54cf-768c-4948-be6f-71932780c17c;274;23.62;50340;49926;127;174;
2ad066fa-b4d8-479d-9b2c-6e0c66cf9ef4;275;23.62;50340;49926;437;50121;
dd938e99-a496-462c-bf4d-317d9d7321df;276;23.62;50376;49962;437;50157;
012f099d-c536-4521-85ab-fa2659f0254e;277;23.62;50568;50154;127;174;
2648efd0-2fb5-4998-b4e9-e769c2f8304f;278;23.62;50673;50259;437;50454;
b36b35e5-35c8-4d99-94d4-17c31c32a556;279;23.62;50720;50306;127;174;
94f553de-e988-4673-a69e-ec9943abaaab;280;23.62;50812;50398;437;50593;
1497061e-d9c9-4d3b-bab3-7b7ee933b2df;281;23.62;50824;50410;127;174;
e804c4c5-1178-4865-bc56-9ad11a223a72;282;23.62;50847;50433;437;50628;
0cb75394-e57f-4077-80b4-44e0ae1cd8d8;283;23.62;50983;50569;127;174;
bfbfccbd-04c0-47a2-806b-6d363acb93c6;284;23.62;51005;50591;437;50786;
899d67df-0d13-48b7-8285-e9d6415728ba;285;23.62;51032;50618;127;174;
d3af1096-4acf-497d-b658-66e8e3b8158a;286;23.62;51145;50731;437;50926;
8e439483-acca-421f-8a35-aafa047e3cf6;287;23.62;51207;50793;127;174;
7428b8de-678f-4a1f-a6ec-d7763b8bebde;288;23.62;51256;50842;437;51037;
15af5b22-5868-4253-9612-9cf40f7eccbd;289;23.62;51353;50939;437;51134;
318d469e-f889-430b-bda1-4397fbb03f94;290;23.62;51510;51096;127;174;
05bf7003-2e6f-41ec-a965-7e781e456596;291;23.62;51825;51411;437;51606;
d1b383ae-a28c-40a3-bf47-75d1c60edf42;292;23.62;51922;51506;437;51701;
4b1ec8e9-2542-4690-9cc7-23fb31e6553a;293;23.62;51946;51530;127;174;
fd5de072-e576-43bd-88b4-823600cffa3f;294;23.62;52010;51594;437;51789;
5e5a55e0-ee75-4725-83c6-f313408c7c3c;295;23.62;52088;51672;127;174;
9bb90d0d-5106-4eee-bc18-916ad54c627d;296;23.62;52132;51716;437;51911;
145c0367-ade8-48a4-8024-0594b74357b4;297;23.62;52251;51835;127;174;
54c6cd84-a369-4e70-952c-48511b2cc13f;298;23.62;52195;51779;437;51974;
01a01a63-93ca-49dd-b59d-5085b8fe91df;299;23.62;52317;51901;127;174;
5db270d1-02d0-4b35-a91d-eb08914ae643;300;23.62;52545;52129;437;52324;
960864dd-68de-4431-9ce9-f668c6f5e4a3;301;23.62;52689;52273;127;174;
7e467a31-6df5-468e-8a3e-75eb5592b2e0;302;23.62;52838;52422;437;52617;
74838849-14a1-4d14-89b6-4a43494bc845;303;23.62;53019;52603;437;52798;
bb427a40-a85b-4f50-8347-6e9d44dccbc1;304;23.62;53097;52681;127;174;
3ced09a4-f17c-4373-a05c-0576ecbf7fa0;305;23.62;53141;52725;437;52920;
bbbab0ba-b715-4fb0-8ac8-6073953ab2ce;306;23.62;53301;52885;127;174;
5eef81d8-6898-4563-8780-13efaa9f7f34;307;23.62;53371;52955;439;53150;
6ccd4a6d-4010-4185-a55f-08c898544adb;308;23.62;53568;53152;127;174;
fe6342d9-64eb-422b-9ca6-311dad5e8ff8;309;23.62;53864;53448;439;53643;
61145d02-c0fa-4104-ac17-fd9d25cc5eb2;310;23.62;53836;53420;440;53615;
e32d506f-f569-46ff-9621-97a04f3d56e6;311;23.62;53992;53576;127;174;
